anio,C2F6 (t),CF4 (t),CH4 (t),CO (t),CO2 (t),CO2e (t) GTP-AR2,CO2e (t) GTP-AR4,CO2e (t) GTP-AR5,CO2e (t) GTP-AR6,CO2e (t) GWP-AR2,CO2e (t) GWP-AR4,CO2e (t) GWP-AR5,CO2e (t) GWP-AR6,COVNM (t),HFC-125 (t),HFC-134a (t),HFC-143a (t),HFC-152a (t),HFC-23 (t),HFC-32 (t),N2O (t),NOx (t),SF6 (t)
1970,0.23261033577337117,3.5574211134036147,1471.0240243204255,2155.5566582947667,19244.91319887677,20821.379813608703,20821.379813608703,19162.726019728434,19775.28338486041,35396.183865320476,38559.11562997942,39934.722982200525,39751.61523881756,742.0748627076053,0.0,0.0,0.0,0.0,0.0,0.0,31.632709127144427,154.0727967576405,0.0
1971,0.33461058996276316,5.117359783452283,1525.506913644445,2259.625804871365,21598.587742630047,22466.288595097878,22466.288595097878,20748.481444859175,21386.1758023759,37570.982886221725,40853.79566824582,42274.057534316365,42095.05318032789,730.1190474484524,0.0,0.0,0.0,0.0,0.0,0.0,32.60923697821566,170.55017757951728,0.0
1972,0.40468393532051666,6.189024967347483,1584.7195676656181,2418.9447949802416,23664.445520867084,24100.30526453042,24100.30526453042,22303.2242404232,22966.79732685098,39800.768350281374,43208.011803983536,44664.14564429624,44490.55993709158,774.278817049442,0.0,0.0,0.0,0.0,0.0,0.0,34.31186367263515,188.85616125339365,0.0
1973,0.4631474956485843,7.0831361562778,1642.6124393208506,2596.053853397058,27726.66882924873,26683.827205542697,26683.827205542697,24827.077027999065,25516.40961087844,42947.75549016349,46482.3896623959,47978.47120522891,47817.59134977149,796.8663936746243,0.0,0.0,0.0,0.0,0.0,0.0,35.27868943925886,217.32048031228203,0.0
1974,0.47102556406158597,7.203619224289684,1704.6143648969603,2681.450599420945,30155.9189522486,28539.31873175121,28539.31873175121,26600.481406892923,27321.124851999564,45431.24006447654,49095.088396188585,50626.79168695999,50477.920397634756,1024.694923473912,0.0,0.0,0.0,0.0,0.0,0.0,37.09818287209457,247.5214146128272,0.0
1975,0.5029524728932256,7.691892710443134,1854.3608209547965,2730.894830150032,32292.96577084301,30593.767465364625,30593.767465364625,28507.669058655396,29285.642220780846,48944.72958082732,52937.92582118442,54630.30185582035,54451.57524305593,1065.6827500557777,0.0,0.0,0.0,0.0,0.0,0.0,39.451007588352944,262.7163456599007,0.0
1976,0.5771721700472959,8.826970035397233,1932.6417163923177,2702.4943623920058,35640.34472303796,33066.87800746832,33066.87800746832,30879.481708947016,31693.2261616256,52203.02800854786,56361.504002672824,58100.61489646692,57933.51272974364,1091.7789086915614,0.0,0.0,0.0,0.0,0.0,0.0,41.583224631345914,287.013048060565,0.0
1977,0.6928553851645334,10.596168770940201,1931.8976450776554,2675.9920770999006,37313.90907730465,34182.31233286334,34182.31233286334,31967.243033522194,32784.13139741583,53333.605735410936,57483.42652681235,59184.87379159105,59040.0484123524,1147.71244838991,0.0,0.0,0.0,0.0,0.0,0.0,42.57108580390142,292.40582087188193,0.0
1978,0.749660404774073,11.464915103446984,1921.2819301668767,2755.8918768620197,40669.82004944608,35969.63360141076,35969.63360141076,33762.778999467395,34580.72099761574,55015.291181848115,59142.271502548436,60809.208121905285,60693.6510322016,1289.8535641927006,0.0,0.0,0.0,0.0,0.0,0.0,42.4266494270468,322.9829062914433,0.0
1979,0.9872463627030247,15.098430786121265,1972.6824106318809,2878.725770349819,43232.369185967385,37830.72000629257,37830.72000629257,35550.182889128606,36394.12625928984,57384.964095163996,61622.07352060368,63313.683925919424,63210.75568052518,1512.2065083093996,0.0,0.0,0.0,0.0,0.0,0.0,43.90038850714345,347.1738869174193,0.0
