pais,id_cliente,fecha_pedido,fecha_llegada,tipo_compra,numero_pedido,tamano_paquete,unidades,costo_empacado,costo_envio,tipo_descuento,categoria,tipo_consumo,tipo_cliente,costo_producto
Argentina,111962928,2002-02-15,2002-03-10,Normal,98091426,Paquete pequeño,1,3.0,5.99,Sin descuento,BlueRay,Alto Consumo,B2C,8.99
Argentina,145148150,2004-11-05,2004-11-26,Normal,98087803,Paquete pequeño,3,1.0,6.99,Sin descuento,BlueRay,Alto Consumo,B2C,7.99
Argentina,194622983,2014-09-14,2014-09-28,Normal,98072296,Paquete pequeño,1,3.0,6.99,Sin descuento,BlueRay,Alto Consumo,B2C,9.99
Argentina,220834258,2011-07-20,2011-07-30,Devolución,98077986,Paquete pequeño,2,1.0,3.86,Cyber Monday,BlueRay,Alto Consumo,B2B,4.859999999999999
Argentina,220834258,2013-09-15,2017-02-15,Normal,98074234,Paquete pequeño,1,2.0,4.88,Black Friday,BlueRay,Alto Consumo,B2B,6.88
Argentina,224042479,2005-07-24,2005-08-02,Normal,98086862,Paquete pequeño,2,1.0,4.73,Sin descuento,BlueRay,Alto Consumo,B2B,5.73
Argentina,229898861,2000-02-29,2000-03-15,Devolución,98094002,Paquete pequeño,2,3.0,5.99,Cyber Monday,BlueRay,Alto Consumo,B2C,8.99
Argentina,258459702,2001-05-23,2001-06-08,Devolución,98092390,Paquete pequeño,2,2.0,6.55,Sin descuento,BlueRay,Alto Consumo,B2C,8.55
Argentina,258459702,2008-08-06,2008-08-26,Normal,98082788,Paquete pequeño,3,1.0,4.25,Sin descuento,BlueRay,Alto Consumo,B2C,5.25
Argentina,275323921,2014-02-20,2014-03-06,Normal,98073462,Paquete pequeño,1,1.0,5.36,Sin descuento,BlueRay,Alto Consumo,B2C,6.36
Argentina,321553436,2007-01-14,2007-01-25,Normal,98084872,Paquete pequeño,3,1.0,4.1,Fecha especial,BlueRay,Alto Consumo,B2B,5.1
Argentina,370008934,2003-01-12,2003-01-29,Normal,98090212,Paquete pequeño,2,2.0,4.14,Sin descuento,BlueRay,Alto Consumo,B2B,6.14
Argentina,376809712,2001-04-11,2001-04-21,Normal,98092541,Paquete pequeño,2,2.0,4.89,Sin descuento,BlueRay,Alto Consumo,B2B,6.89
Argentina,379587534,2002-01-19,2002-01-30,Normal,98091539,Paquete pequeño,3,3.0,5.58,Sin descuento,BlueRay,Alto Consumo,B2C,8.58
Argentina,379587534,2006-04-07,2006-04-20,Normal,98085934,Paquete pequeño,3,3.0,3.84,Sin descuento,BlueRay,Alto Consumo,B2C,6.84
Argentina,405991354,2002-09-28,2002-10-13,Normal,98090577,Paquete pequeño,1,1.0,4.65,Cyber Monday,BlueRay,Alto Consumo,B2C,5.65
Argentina,416232977,2015-02-03,2018-01-18,Normal,98071478,Paquete pequeño,2,3.0,5.1,Sin descuento,BlueRay,Alto Consumo,B2C,8.1
Argentina,458554212,2005-10-10,2005-10-29,Normal,98086594,Paquete pequeño,3,3.0,6.65,Sin descuento,BlueRay,Alto Consumo,B2C,9.65
Argentina,476846252,2008-09-02,2008-09-22,Normal,98082695,Paquete pequeño,3,3.0,3.99,Cyber Monday,BlueRay,Alto Consumo,B2C,6.99
Argentina,477490358,2004-06-22,2004-07-07,Normal,98088265,Paquete pequeño,2,3.0,5.65,Sin descuento,BlueRay,Alto Consumo,B2B,8.65
Argentina,477490358,2008-09-07,2008-09-21,Normal,98082671,Paquete pequeño,1,2.0,6.73,Sin descuento,BlueRay,Alto Consumo,B2B,8.73
